# logM_cut, logM_1, logsigma, alpha, kappa
13.10564,13.29012,-0.93032,0.93311,1.27217
13.23192,13.22751,-0.30496,1.17456,0.70016
13.23245,14.19454,-0.40542,0.95750,0.43656
12.48458,13.88055,-1.96693,0.76832,1.43929
12.68810,14.26899,-2.22056,1.15692,0.75703
12.54055,13.23540,-2.95263,0.93537,0.66769
12.88552,14.29204,-0.24090,1.13063,0.67257
12.94422,13.71680,-2.18468,1.13531,1.47741
12.86609,13.57461,-2.32664,1.28379,1.29621
13.21043,13.63248,-0.86372,1.42325,0.38803
12.75197,13.90266,-2.60637,1.25222,0.65562
13.02654,14.28795,-2.75389,1.35867,1.27050
13.00215,13.38728,-0.35262,1.15682,0.53672
12.79315,13.59858,-2.81831,1.03007,0.29252
13.09562,14.32639,-1.79501,1.22737,1.20365
13.09834,14.01980,-1.36004,0.89966,0.07242
13.24948,13.91217,-1.38677,1.38533,1.42662
13.24838,14.12099,-0.64064,0.81793,0.48736
12.61408,13.90115,-1.64002,0.70041,0.92329
12.88946,14.11767,-0.87063,1.17962,1.28914
12.90046,13.75671,-0.56685,0.70607,0.46629
12.89851,13.31845,-0.00589,1.12581,0.46973
12.43907,13.87058,-1.57784,1.21382,1.40493
12.92456,13.33739,-2.41604,0.81586,1.44122
12.44755,13.20577,-0.58638,0.72618,1.22162
12.64028,13.93853,-1.42197,1.27800,0.01055
12.45291,14.25645,-0.81868,0.79224,0.67362
12.71610,13.68956,-2.57050,0.86527,1.02816
12.76665,13.85784,-2.38015,1.21513,0.38451
12.87138,13.57402,-1.00759,1.01766,0.25210
12.99748,13.79684,-2.37220,1.48715,0.72323
13.11082,13.21452,-1.19360,0.85067,0.16399
13.09302,14.37194,-1.89366,0.92674,0.23625
12.76322,14.25872,-0.28813,0.94694,0.69067
12.95199,14.22373,-1.12192,1.47029,0.16089
12.80261,14.35493,-0.26281,0.85860,0.43287
12.52962,14.21770,-1.32454,1.06153,1.10808
13.23654,13.31317,-2.58603,0.88557,0.70775
13.08020,14.24784,-2.11278,1.27404,0.75542
12.98054,14.03010,-1.30294,0.93060,0.84954
12.98832,14.30860,-2.34310,1.49178,0.56698
12.68321,13.94556,-1.77537,1.44597,1.03071
12.59659,14.19959,-2.02050,1.31206,1.44516
12.86184,13.94787,-2.08065,0.93718,0.42247
12.80218,13.61709,-2.56970,1.14580,0.24687
12.93126,14.08116,-2.16881,0.77252,1.22217
13.19337,14.04521,-2.83423,0.92188,0.63496
13.16998,13.66098,-1.53791,1.46237,0.48794
12.64580,13.60844,-0.85951,0.80070,1.07766
13.27561,14.32309,-1.09379,1.41452,1.37669
12.97106,14.10948,-1.62536,1.17870,1.32017
12.83260,13.66958,-1.65796,0.74939,1.38969
12.91533,14.19442,-1.09206,1.43497,1.13339
13.10988,14.13902,-1.28748,1.17072,0.26643
12.41181,13.63942,-0.41158,1.24385,0.44532
13.21939,14.20340,-2.72210,0.83079,0.69029
12.94950,13.47176,-2.38783,1.30596,0.90994
13.10061,14.27034,-0.10740,1.44360,1.14567
12.60017,14.13310,-0.47847,1.40575,0.22064
12.73021,13.61811,-2.46626,0.80581,0.13376
12.64929,13.41483,-1.21030,0.92505,0.02993
13.25129,13.45196,-2.89334,1.04732,0.58772
13.24040,13.29232,-0.37461,1.35449,1.47508
12.45263,13.95086,-0.67951,1.12199,0.05072
12.97752,14.26674,-1.58195,1.29949,0.92373
12.47308,14.11142,-2.65124,1.22428,1.43506
12.56507,13.73933,-1.19132,1.32003,1.17338
12.53778,14.32070,-0.76024,0.81004,0.16068
12.91760,13.22340,-0.93105,0.96590,0.49827
12.64760,14.08839,-2.09667,0.92532,0.73924
13.01788,14.26118,-2.06660,1.05962,0.29869
12.46205,14.03322,-0.59306,0.97304,0.22929
12.57607,13.59290,-0.93768,0.97965,1.34561
12.83656,13.27934,-2.96602,1.37822,1.26455
12.43566,13.54228,-1.87566,0.91786,1.31817
12.52550,13.36792,-0.52609,1.00010,0.36165
12.42347,14.24544,-0.56305,0.96020,0.39412
12.45002,14.17977,-2.90173,1.24389,0.56297
12.97433,13.79032,-0.40264,1.09345,1.11886
12.71806,13.51189,-2.20447,1.28340,0.27832
12.54033,13.84281,-2.79025,0.95762,1.38965
12.44912,14.07023,-1.47582,0.80568,0.81541
12.98593,13.38555,-1.64936,1.23996,1.16818
12.87904,14.05637,-1.54237,0.95868,0.97423
12.57427,13.79687,-0.56400,0.82034,0.83138
13.14451,13.60427,-2.52674,1.38538,0.77556
12.44445,14.31939,-2.39659,1.44198,0.34325
12.85638,13.41153,-0.89659,1.46185,0.39452
12.58974,14.01467,-1.71611,1.22200,0.09332
13.16931,13.22062,-2.12441,1.37390,1.15943
12.69468,14.13552,-1.44759,1.30134,0.85126
12.51408,13.77737,-2.88623,0.89004,0.01266
12.54434,13.41912,-0.32084,1.38644,0.50176
12.62055,14.12897,-1.72167,0.98319,1.05464
12.88350,13.87273,-0.06827,1.47805,1.26290
12.64688,13.83495,-2.35323,0.73916,1.39750
12.57683,14.00864,-2.45364,1.21999,1.13781
12.47225,14.27299,-2.51480,1.47798,1.01852
12.59226,13.49587,-0.15199,0.75043,0.00761
12.50855,13.80532,-2.07468,1.38024,1.38245
12.94483,14.36349,-0.88274,0.82170,1.30876
12.99505,13.90493,-0.14302,0.70333,0.20631
12.60796,13.80767,-0.61474,0.94414,0.10714
13.16814,14.37794,-1.18786,1.28205,0.37300
12.91601,13.36708,-2.89620,0.92116,0.27468
12.80107,14.03317,-2.04337,1.11920,1.07870
12.80649,14.18671,-2.00358,0.74009,1.08864
12.49445,13.29419,-1.51532,0.92053,1.08765
12.45260,14.20815,-2.05237,0.73488,0.25981
12.44294,13.84386,-0.37447,1.22542,1.15416
13.20289,13.45831,-2.62943,1.28304,1.47199
12.68221,14.36184,-0.77102,1.28833,0.26993
13.29370,13.48038,-0.53813,1.27176,0.92628
13.07709,14.33562,-2.50744,1.31857,0.48832
13.14031,13.53871,-2.59132,0.90169,0.46143
12.89921,13.30092,-0.07584,0.94533,0.88141
12.71682,13.38948,-1.50295,0.89367,0.08638
13.06539,14.06789,-1.15726,0.89858,0.34471
12.40013,13.64205,-0.65717,1.28691,1.08527
12.89171,13.53682,-0.75346,1.14856,0.42229
12.73594,13.83783,-2.33941,1.16009,1.43796
12.43115,13.99081,-1.54412,1.07022,0.86707
13.09027,13.73569,-1.17749,0.90081,1.40292
13.27333,14.08741,-1.72076,1.00824,1.05799
12.73035,13.62898,-1.21041,1.23023,0.30539
12.89305,13.69587,-2.08645,1.03211,0.20693
12.40861,13.74822,-2.20578,1.05370,0.93904
12.69986,13.21145,-0.70881,0.84705,0.81615
13.18608,14.27744,-2.78166,1.02817,0.25517
12.87382,13.45969,-1.56997,1.01291,1.13764
12.78871,14.20498,-1.94678,1.33028,1.00513
12.44956,13.84945,-1.63587,1.26380,0.75410
12.60904,13.56349,-0.33791,0.81858,1.47135
13.11680,13.43048,-0.62699,0.93778,1.12064
13.00344,13.84840,-2.38809,0.70164,0.74536
12.49130,13.88767,-0.71235,0.98006,0.34736
12.44129,14.29729,-0.70910,1.38080,0.03307
13.21236,13.66043,-0.65591,0.77668,0.16359
12.88898,13.27624,-1.52052,1.32019,0.28391
12.41479,13.60415,-0.06411,1.29680,0.77608
